phase,duration
0,11
1,3
6,10
7,3
2,10
3,3
6,10
7,3
2,10
3,3
6,11
7,3
4,10
5,3
2,13
3,3
0,10
1,3
2,10
3,3
6,10
7,3
4,10
5,3
2,10
3,3
6,10
7,3
0,10
1,3
2,11
3,3
4,10
5,3
6,10
7,3
4,10
5,3
6,10
7,3
2,10
3,3
0,10
1,3
2,10
3,3
4,11
5,3
6,10
7,3
2,10
3,3
6,10
7,3
2,11
3,3
6,11
7,3
4,10
5,3
0,10
1,3
2,12
3,3
4,11
5,3
0,10
1,3
4,10
5,3
6,10
7,3
4,10
5,3
2,10
3,3
4,10
5,3
2,10
3,3
4,11
5,3
6,10
7,3
4,10
5,3
0,10
1,3
6,15
7,3
0,10
1,3
2,10
3,3
4,10
5,3
2,10
3,3
6,11
7,3
4,10
5,3
6,10
7,3
2,10
3,3
6,10
7,3
4,10
5,3
6,14
7,3
4,10
5,3
0,10
1,3
4,10
5,3
2,10
3,3
4,10
5,3
6,10
7,3
2,10
3,3
6,10
7,3
2,14
3,3
6,10
7,3
4,11
5,3
2,10
3,3
4,13
5,3
0,10
1,3
6,13
7,3
0,10
1,3
4,10
5,3
6,10
7,3
2,13
3,3
6,10
7,3
2,10
3,3
6,10
7,3
2,10
3,3
4,10
5,3
6,10
7,3
4,12
5,3
6,10
7,3
4,18
5,3
6,10
7,3
0,22
1,3
4,10
5,3
6,10
7,3
4,13
5,3
2,23
3,3
6,10
7,3
2,14
3,3
6,10
7,3
2,11
3,3
4,10
5,3
2,10
3,3
0,14
1,3
4,10
5,3
2,10
3,3
4,17
5,3
6,15
7,3
4,10
5,3
6,14
7,3
2,10
3,3
6,10
7,3
2,12
3,3
0,10
1,3
2,10
3,3
4,10
5,3
6,10
7,3
4,10
5,3
2,10
3,3
6,24
7,3
0,10
1,3
2,10
3,3
6,10
7,3
2,10
3,3
4,11
5,3
2,10
3,3
4,30
5,3
6,10
7,3
0,10
1,3
4,10
5,3
6,10
7,3
0,10
1,3
4,10
5,3
