phase,duration
0,11
1,3
2,11
3,3
0,21
1,3
2,11
3,3
0,10
1,3
2,12
3,3
6,10
7,3
0,11
1,3
2,11
3,3
0,10
1,3
2,10
3,3
6,11
7,3
0,11
1,3
4,10
5,3
2,10
3,3
6,10
7,3
2,11
3,3
6,11
7,3
0,12
1,3
6,10
7,3
0,11
1,3
6,10
7,3
0,10
1,3
6,10
7,3
0,18
1,3
2,10
3,3
6,11
7,3
2,10
3,3
4,10
5,3
6,15
7,3
2,10
3,3
4,10
5,3
6,11
7,3
2,10
3,3
0,10
1,3
6,15
7,3
2,10
3,3
6,27
7,3
2,10
3,3
6,10
7,3
0,10
1,3
6,10
7,3
0,11
1,3
6,10
7,3
2,10
3,3
6,11
7,3
0,11
1,3
2,10
3,3
6,10
7,3
0,11
1,3
6,10
7,3
0,10
1,3
2,10
3,3
0,12
1,3
6,10
7,3
2,10
3,3
0,10
1,3
6,14
7,3
0,10
1,3
2,11
3,3
6,10
7,3
0,10
1,3
6,14
7,3
0,10
1,3
2,11
3,3
6,14
7,3
0,11
1,3
2,16
3,3
6,30
7,3
0,10
1,3
2,10
3,3
6,23
7,3
4,11
5,3
6,13
7,3
0,10
1,3
2,10
3,3
6,21
7,3
2,10
3,3
6,12
7,3
4,10
5,3
6,10
7,3
2,15
3,3
0,10
1,3
6,12
7,3
2,11
3,3
6,10
7,3
2,10
3,3
6,10
7,3
2,10
3,3
6,23
7,3
4,10
5,3
6,12
7,3
2,10
3,3
6,12
7,3
4,10
5,3
6,11
7,3
4,10
5,3
6,10
7,3
2,10
3,3
4,11
5,3
6,17
7,3
4,11
5,3
6,10
7,3
4,10
5,3
6,21
7,3
4,10
5,3
6,12
7,3
4,12
5,3
6,10
7,3
4,10
5,3
6,10
7,3
4,13
5,3
6,10
7,3
4,10
5,3
6,10
7,3
4,33
5,3
2,10
3,3
4,19
5,3
2,10
3,3
