phase,duration
0,40
1,3
2,10
3,3
0,40
1,3
2,10
3,3
6,25
7,3
2,10
3,3
0,10
1,3
4,10
5,3
6,32
7,3
2,10
3,3
6,20
7,3
0,11
1,3
2,10
3,3
0,19
1,3
4,10
5,3
6,39
7,3
2,11
3,3
6,22
7,3
2,10
3,3
0,10
1,3
6,10
7,3
4,10
5,3
6,40
7,3
0,11
1,3
4,10
5,3
2,10
3,3
6,24
7,3
0,18
1,3
4,10
5,3
6,30
7,3
2,10
3,3
6,10
7,3
2,12
3,3
6,11
7,3
2,10
3,3
0,10
1,3
6,20
7,3
2,10
3,3
6,10
7,3
2,10
3,3
4,10
5,3
6,17
7,3
2,10
3,3
0,10
1,3
2,10
3,3
6,16
7,3
4,10
5,3
2,10
3,3
0,10
1,3
6,10
7,3
0,10
1,3
2,10
3,3
6,18
7,3
4,10
5,3
6,10
7,3
2,10
3,3
6,22
7,3
4,10
5,3
6,14
7,3
0,11
1,3
6,16
7,3
2,10
3,3
6,12
7,3
0,27
1,3
6,21
7,3
0,10
1,3
4,10
5,3
2,10
3,3
6,10
7,3
2,10
3,3
6,17
7,3
2,10
3,3
4,10
5,3
0,10
1,3
6,13
7,3
2,10
3,3
6,13
7,3
0,10
1,3
6,14
7,3
2,10
3,3
6,10
7,3
2,10
3,3
4,10
5,3
6,10
7,3
2,10
3,3
6,10
7,3
2,10
3,3
6,17
7,3
0,10
1,3
6,18
7,3
2,10
3,3
6,10
7,3
2,10
3,3
0,10
1,3
6,10
7,3
0,10
1,3
4,10
5,3
6,10
7,3
2,11
3,3
0,10
1,3
2,10
3,3
4,10
5,3
6,10
7,3
2,10
3,3
6,15
7,3
0,10
1,3
4,10
5,3
6,10
7,3
2,10
3,3
