phase,duration
0,11
1,3
2,19
3,3
4,10
5,3
6,10
7,3
2,10
3,3
6,40
7,3
0,10
1,3
2,10
3,3
6,33
7,3
0,10
1,3
6,11
7,3
2,10
3,3
4,10
5,3
2,15
3,3
6,10
7,3
0,10
1,3
6,19
7,3
4,10
5,3
2,10
3,3
0,10
1,3
6,23
7,3
4,10
5,3
2,16
3,3
6,18
7,3
2,11
3,3
0,13
1,3
2,10
3,3
4,10
5,3
2,10
3,3
0,14
1,3
6,40
7,3
0,10
1,3
2,10
3,3
4,10
5,3
6,10
7,3
2,10
3,3
6,12
7,3
2,11
3,3
6,14
7,3
2,12
3,3
6,10
7,3
4,10
5,3
6,10
7,3
2,12
3,3
4,10
5,3
0,10
1,3
2,10
3,3
4,10
5,3
6,24
7,3
0,10
1,3
2,11
3,3
4,11
5,3
2,19
3,3
4,10
5,3
6,38
7,3
0,10
1,3
2,10
3,3
4,10
5,3
6,10
7,3
2,10
3,3
0,13
1,3
6,10
7,3
2,10
3,3
6,13
7,3
4,10
5,3
6,10
7,3
2,10
3,3
6,18
7,3
2,10
3,3
0,10
1,3
6,13
7,3
4,10
5,3
6,11
7,3
2,10
3,3
6,19
7,3
2,10
3,3
6,10
7,3
4,10
5,3
6,21
7,3
4,10
5,3
2,10
3,3
0,10
1,3
2,10
3,3
4,10
5,3
6,10
7,3
2,10
3,3
0,10
1,3
2,10
3,3
4,10
5,3
6,33
7,3
2,24
3,3
0,10
1,3
2,10
3,3
6,12
7,3
4,10
5,3
6,40
7,3
0,10
1,3
6,24
7,3
2,17
3,3
4,10
5,3
0,10
1,3
6,10
7,3
4,10
5,3
6,15
7,3
2,10
3,3
0,10
1,3
2,18
3,3
6,14
7,3
2,10
3,3
6,13
