phase,duration
0,39
1,3
6,40
7,3
0,40
1,3
2,10
3,3
6,18
7,3
4,10
5,3
6,40
7,3
0,10
1,3
2,11
3,3
4,10
5,3
2,13
3,3
6,10
7,3
2,10
3,3
0,10
1,3
4,10
5,3
6,10
7,3
2,10
3,3
0,10
1,3
2,10
3,3
6,10
7,3
2,13
3,3
6,10
7,3
2,10
3,3
0,15
1,3
2,10
3,3
6,10
7,3
2,10
3,3
4,10
5,3
2,10
3,3
0,10
1,3
2,10
3,3
4,10
5,3
6,10
7,3
2,10
3,3
0,10
1,3
6,10
7,3
2,11
3,3
0,10
1,3
2,10
3,3
6,10
7,3
2,14
3,3
6,10
7,3
2,13
3,3
0,10
1,3
2,11
3,3
6,10
7,3
2,11
3,3
4,10
5,3
6,21
7,3
2,10
3,3
0,10
1,3
2,10
3,3
6,10
7,3
0,14
1,3
2,10
3,3
4,10
5,3
2,16
3,3
6,29
7,3
2,10
3,3
0,12
1,3
2,12
3,3
4,10
5,3
6,10
7,3
2,11
3,3
0,10
1,3
2,10
3,3
6,14
7,3
2,16
3,3
4,10
5,3
6,10
7,3
2,17
3,3
0,13
1,3
2,10
3,3
6,10
7,3
2,10
3,3
4,10
5,3
2,10
3,3
6,10
7,3
2,10
3,3
0,10
1,3
2,10
3,3
6,10
7,3
4,10
5,3
2,10
3,3
6,11
7,3
2,11
3,3
0,10
1,3
2,10
3,3
6,10
7,3
2,10
3,3
0,10
1,3
6,10
7,3
2,10
3,3
4,10
5,3
6,11
7,3
2,10
3,3
0,10
1,3
2,12
3,3
6,10
7,3
2,16
3,3
4,10
5,3
0,10
1,3
2,26
3,3
6,10
7,3
2,10
3,3
0,10
1,3
4,10
5,3
6,10
7,3
0,10
1,3
2,10
3,3
4,10
5,3
0,10
1,3
2,10
3,3
6,10
7,3
2,10
3,3
0,10
1,3
2,10
3,3
6,10
7,3
