phase,duration
0,11
1,3
2,20
3,3
4,10
5,3
6,10
7,3
2,10
3,3
6,40
7,3
0,10
1,3
2,13
3,3
6,23
7,3
0,10
1,3
6,10
7,3
4,10
5,3
2,10
3,3
0,10
1,3
6,10
7,3
2,37
3,3
6,10
7,3
4,10
5,3
2,10
3,3
6,16
7,3
2,10
3,3
4,10
5,3
2,10
3,3
6,40
7,3
0,10
1,3
2,10
3,3
6,10
7,3
2,10
3,3
4,10
5,3
6,28
7,3
2,10
3,3
6,13
7,3
0,10
1,3
2,10
3,3
4,10
5,3
6,24
7,3
2,10
3,3
6,10
7,3
4,10
5,3
2,23
3,3
4,10
5,3
6,31
7,3
0,21
1,3
2,10
3,3
6,21
7,3
2,17
3,3
6,16
7,3
0,10
1,3
2,22
3,3
0,10
1,3
6,15
7,3
4,10
5,3
6,25
7,3
4,10
5,3
6,37
7,3
4,10
5,3
6,10
7,3
2,10
3,3
6,18
7,3
4,10
5,3
6,24
7,3
0,10
1,3
2,10
3,3
6,10
7,3
2,30
3,3
6,16
7,3
4,10
5,3
6,15
7,3
2,12
3,3
4,10
5,3
6,13
7,3
2,14
3,3
6,10
7,3
2,11
3,3
0,10
1,3
2,10
3,3
4,10
5,3
6,10
7,3
2,12
3,3
6,25
7,3
0,10
1,3
2,10
3,3
4,10
5,3
6,10
7,3
2,10
3,3
6,12
7,3
2,10
3,3
6,16
7,3
4,10
5,3
6,10
7,3
2,10
3,3
6,10
7,3
4,10
5,3
6,12
7,3
2,10
3,3
6,11
7,3
4,10
5,3
6,21
7,3
4,10
5,3
6,14
7,3
2,10
3,3
0,10
1,3
4,10
5,3
0,10
1,3
2,10
3,3
6,15
7,3
2,10
