phase,duration
0,40
1,3
2,10
3,3
4,10
5,3
6,40
7,3
0,10
1,3
2,10
3,3
4,10
5,3
2,40
3,3
4,10
5,3
6,10
7,3
2,40
3,3
4,10
5,3
2,10
3,3
0,10
1,3
6,12
7,3
2,14
3,3
4,10
5,3
2,11
3,3
0,10
1,3
2,10
3,3
6,16
7,3
2,10
3,3
6,16
7,3
4,10
5,3
2,10
3,3
4,10
5,3
2,10
3,3
6,10
7,3
2,11
3,3
4,10
5,3
2,33
3,3
0,10
1,3
2,10
3,3
6,10
7,3
2,10
3,3
6,10
7,3
2,12
3,3
6,10
7,3
2,13
3,3
0,10
1,3
2,10
3,3
6,10
7,3
2,10
3,3
0,10
1,3
6,10
7,3
2,10
3,3
0,10
1,3
2,10
3,3
6,10
7,3
2,12
3,3
0,10
1,3
2,10
3,3
6,10
7,3
2,17
3,3
0,10
1,3
2,10
3,3
4,10
5,3
2,13
3,3
6,10
7,3
2,14
3,3
0,10
1,3
4,10
5,3
2,25
3,3
6,11
7,3
2,28
3,3
0,10
1,3
4,14
5,3
0,10
1,3
2,10
3,3
6,12
7,3
2,21
3,3
6,10
7,3
2,19
3,3
4,10
5,3
2,13
3,3
0,11
1,3
6,10
7,3
4,10
5,3
6,10
7,3
2,10
3,3
0,10
1,3
4,10
5,3
6,10
7,3
2,10
3,3
0,11
1,3
2,10
3,3
6,10
7,3
2,10
3,3
0,11
1,3
4,10
5,3
6,10
7,3
0,13
1,3
6,10
7,3
2,10
3,3
0,10
1,3
6,11
7,3
2,10
3,3
6,10
7,3
2,10
3,3
4,10
5,3
2,10
3,3
6,10
7,3
2,10
3,3
6,10
7,3
2,10
3,3
0,10
1,3
6,10
7,3
2,14
3,3
6,10
7,3
2,10
3,3
0,10
1,3
4,10
5,3
2,10
3,3
6,10
7,3
2,10
3,3
0,10
1,3
2,10
3,3
