phase,duration
0,40
1,3
2,10
3,3
4,10
5,3
6,14
7,3
4,10
5,3
2,17
3,3
6,21
7,3
4,10
5,3
2,10
3,3
0,20
1,3
2,10
3,3
6,24
7,3
4,10
5,3
2,10
3,3
0,18
1,3
2,15
3,3
0,10
1,3
2,11
3,3
6,20
7,3
2,10
3,3
4,10
5,3
2,21
3,3
4,10
5,3
2,10
3,3
4,10
5,3
0,18
1,3
2,10
3,3
6,33
7,3
2,10
3,3
4,10
5,3
6,10
7,3
2,13
3,3
4,10
5,3
6,10
7,3
4,10
5,3
0,10
1,3
2,10
3,3
0,10
1,3
2,12
3,3
6,10
7,3
2,13
3,3
6,10
7,3
4,10
5,3
2,10
3,3
0,10
1,3
2,11
3,3
4,10
5,3
6,10
7,3
2,12
3,3
6,10
7,3
2,11
3,3
4,10
5,3
6,10
7,3
2,10
3,3
0,10
1,3
2,10
3,3
6,10
7,3
4,10
5,3
2,10
3,3
0,17
1,3
6,11
7,3
2,18
3,3
4,10
5,3
2,10
3,3
4,10
5,3
2,10
3,3
6,10
7,3
2,12
3,3
0,10
1,3
2,10
3,3
6,10
7,3
4,10
5,3
2,12
3,3
4,10
5,3
6,10
7,3
2,12
3,3
4,11
5,3
2,10
3,3
4,10
5,3
2,10
3,3
6,10
7,3
2,20
3,3
4,10
5,3
2,11
3,3
6,10
7,3
4,10
5,3
2,10
3,3
6,10
7,3
2,10
3,3
0,10
1,3
4,10
5,3
6,13
7,3
2,10
3,3
0,10
1,3
2,10
3,3
6,22
7,3
2,10
3,3
4,10
5,3
2,10
3,3
0,10
1,3
2,10
3,3
4,11
5,3
6,38
7,3
2,19
3,3
6,14
7,3
2,11
3,3
4,10
5,3
2,38
3,3
0,10
1,3
2,10
3,3
4,10
5,3
6,20
7,3
2,20
3,3
4,10
5,3
