phase,duration
0,11
1,3
2,40
3,3
4,10
5,3
2,40
3,3
4,10
5,3
0,10
1,3
2,40
3,3
4,10
5,3
6,40
7,3
0,10
1,3
6,14
7,3
2,10
3,3
4,10
5,3
6,17
7,3
2,10
3,3
6,10
7,3
4,10
5,3
0,10
1,3
2,10
3,3
6,10
7,3
2,10
3,3
6,13
7,3
4,10
5,3
0,11
1,3
6,10
7,3
0,10
1,3
2,10
3,3
6,10
7,3
0,10
1,3
2,10
3,3
0,35
1,3
2,11
3,3
6,13
7,3
2,10
3,3
6,10
7,3
2,10
3,3
6,40
7,3
0,10
1,3
4,10
5,3
2,37
3,3
0,10
1,3
6,10
7,3
2,10
3,3
0,10
1,3
6,10
7,3
2,19
3,3
6,16
7,3
4,16
5,3
0,32
1,3
2,10
3,3
0,10
1,3
6,10
7,3
0,10
1,3
6,10
7,3
2,10
3,3
6,10
7,3
4,10
5,3
0,10
1,3
2,10
3,3
6,10
7,3
2,40
3,3
4,14
5,3
2,10
3,3
0,10
1,3
4,14
5,3
0,10
1,3
4,17
5,3
6,11
7,3
2,10
3,3
4,10
5,3
2,10
3,3
0,17
1,3
6,35
7,3
2,12
3,3
6,10
7,3
2,14
3,3
6,19
7,3
0,10
1,3
4,12
5,3
2,40
3,3
4,10
5,3
6,10
7,3
0,11
1,3
6,10
7,3
2,12
3,3
6,10
7,3
2,10
3,3
6,25
7,3
4,10
5,3
2,10
3,3
6,10
7,3
2,13
3,3
6,40
7,3
0,10
1,3
6,10
7,3
0,10
1,3
2,10
3,3
6,10
7,3
4,10
5,3
2,10
3,3
4,18
5,3
2,10
3,3
