phase,duration
0,11
1,3
2,40
3,3
4,10
5,3
2,40
3,3
4,10
5,3
2,40
3,3
4,10
5,3
2,35
3,3
6,15
7,3
0,10
1,3
6,26
7,3
4,10
5,3
6,17
7,3
0,10
1,3
4,10
5,3
2,10
3,3
4,10
5,3
2,10
3,3
6,10
7,3
0,10
1,3
2,10
3,3
6,10
7,3
0,10
1,3
4,10
5,3
2,10
3,3
0,10
1,3
6,10
7,3
2,36
3,3
6,40
7,3
0,10
1,3
2,11
3,3
6,11
7,3
4,10
5,3
6,10
7,3
2,10
3,3
6,10
7,3
2,10
3,3
6,10
7,3
2,17
3,3
4,10
5,3
0,10
1,3
2,13
3,3
0,14
1,3
2,10
3,3
0,21
1,3
2,10
3,3
0,11
1,3
6,10
7,3
2,10
3,3
6,40
7,3
0,13
1,3
6,10
7,3
2,10
3,3
0,10
1,3
2,17
3,3
0,21
1,3
2,10
3,3
0,10
1,3
6,12
7,3
0,10
1,3
6,10
7,3
4,22
5,3
0,15
1,3
6,10
7,3
2,10
3,3
6,10
7,3
0,10
1,3
4,18
5,3
6,17
7,3
0,10
1,3
2,10
3,3
6,10
7,3
2,10
3,3
0,10
1,3
6,10
7,3
2,10
3,3
4,10
5,3
0,10
1,3
2,10
3,3
6,10
7,3
2,10
3,3
6,10
7,3
2,10
3,3
4,10
5,3
6,10
7,3
0,10
1,3
2,11
3,3
6,10
7,3
2,12
3,3
6,10
7,3
2,10
3,3
4,10
5,3
2,10
3,3
6,10
7,3
2,10
3,3
6,28
7,3
4,10
5,3
6,16
7,3
0,18
1,3
2,10
3,3
6,10
7,3
2,10
3,3
6,10
7,3
4,12
5,3
2,11
3,3
4,10
5,3
0,10
1,3
2,40
