phase,duration
0,11
1,3
6,25
7,3
2,10
3,3
6,15
7,3
4,10
5,3
6,35
7,3
2,10
3,3
6,27
7,3
2,12
3,3
6,10
7,3
2,12
3,3
0,10
1,3
6,10
7,3
2,16
3,3
4,10
5,3
2,20
3,3
4,16
5,3
6,12
7,3
4,10
5,3
6,10
7,3
0,10
1,3
2,17
3,3
4,10
5,3
2,10
3,3
4,11
5,3
0,12
1,3
6,12
7,3
0,10
1,3
4,10
5,3
6,10
7,3
2,10
3,3
6,19
7,3
0,10
1,3
6,10
7,3
4,10
5,3
0,10
1,3
6,10
7,3
0,10
1,3
2,18
3,3
4,10
5,3
6,10
7,3
0,11
1,3
2,10
3,3
4,10
5,3
0,10
1,3
2,15
3,3
4,10
5,3
2,10
3,3
6,12
7,3
2,10
3,3
6,10
7,3
2,27
3,3
0,10
1,3
2,40
3,3
4,10
5,3
0,20
1,3
2,10
3,3
0,11
1,3
6,10
7,3
0,10
1,3
2,10
3,3
0,10
1,3
2,10
3,3
0,10
1,3
6,10
7,3
2,10
3,3
4,10
5,3
2,10
3,3
6,10
7,3
2,10
3,3
4,10
5,3
6,11
7,3
4,10
5,3
0,10
1,3
6,12
7,3
2,24
3,3
0,10
1,3
4,10
5,3
0,13
1,3
2,10
3,3
6,10
7,3
2,21
3,3
6,13
7,3
4,28
5,3
6,10
7,3
0,11
1,3
2,10
3,3
6,11
7,3
4,10
5,3
6,11
7,3
0,10
1,3
6,10
7,3
4,10
5,3
0,10
1,3
6,10
7,3
2,10
3,3
0,12
1,3
2,10
3,3
6,10
7,3
0,10
1,3
2,15
3,3
6,10
7,3
4,10
5,3
2,21
3,3
4,10
5,3
2,10
3,3
0,10
1,3
6,10
7,3
2,10
3,3
6,10
7,3
4,10
5,3
0,10
1,3
4,10
5,3
0,18
1,3
2,10
3,3
6,17
7,3
