phase,duration
0,28
1,3
4,40
5,3
6,10
7,3
2,10
3,3
6,10
7,3
4,10
5,3
2,10
3,3
0,10
1,3
4,10
5,3
0,10
1,3
2,22
3,3
0,10
1,3
6,26
7,3
2,12
3,3
4,15
5,3
2,10
3,3
6,40
7,3
0,10
1,3
2,10
3,3
6,11
7,3
2,14
3,3
6,10
7,3
2,18
3,3
6,10
7,3
0,10
1,3
2,10
3,3
6,10
7,3
2,10
3,3
6,10
7,3
2,14
3,3
0,10
1,3
6,10
7,3
2,40
3,3
4,10
5,3
2,10
3,3
0,10
1,3
2,11
3,3
6,10
7,3
2,20
3,3
0,10
1,3
6,10
7,3
2,14
3,3
4,24
5,3
2,10
3,3
4,22
5,3
2,28
3,3
4,10
5,3
2,17
3,3
6,10
7,3
4,11
5,3
2,15
3,3
6,10
7,3
2,10
3,3
6,10
7,3
2,17
3,3
4,10
5,3
2,10
3,3
4,19
5,3
2,10
3,3
4,10
5,3
6,10
7,3
4,12
5,3
2,10
3,3
6,10
7,3
2,40
3,3
4,10
5,3
2,15
3,3
4,10
5,3
2,10
3,3
4,10
5,3
6,16
7,3
2,40
3,3
4,10
5,3
2,10
3,3
6,13
7,3
0,18
1,3
4,10
5,3
6,11
7,3
4,10
5,3
0,21
1,3
2,10
3,3
6,15
7,3
4,10
5,3
2,10
3,3
6,14
7,3
2,40
3,3
4,10
5,3
0,10
1,3
2,10
3,3
6,10
7,3
2,10
3,3
0,18
1,3
2,25
3,3
6,18
7,3
2,10
3,3
4,10
5,3
2,40
3,3
4,10
5,3
2,13
3,3
6,10
7,3
4,10
5,3
6,10
7,3
2,10
