phase,duration
0,12
1,3
2,11
3,3
0,10
1,3
2,22
3,3
4,40
5,3
6,10
7,3
0,10
1,3
2,11
3,3
6,10
7,3
2,10
3,3
6,31
7,3
4,10
5,3
2,10
3,3
0,10
1,3
6,11
7,3
4,10
5,3
6,16
7,3
2,16
3,3
6,11
7,3
2,10
3,3
4,10
5,3
6,16
7,3
2,10
3,3
4,10
5,3
6,10
7,3
2,10
3,3
6,11
7,3
0,18
1,3
6,10
7,3
4,13
5,3
2,10
3,3
6,17
7,3
0,10
1,3
2,10
3,3
6,10
7,3
2,10
3,3
6,40
7,3
0,10
1,3
4,10
5,3
2,10
3,3
6,16
7,3
0,10
1,3
6,10
7,3
4,10
5,3
2,10
3,3
6,37
7,3
0,10
1,3
6,10
7,3
2,18
3,3
6,10
7,3
0,10
1,3
4,10
5,3
2,10
3,3
6,10
7,3
2,10
3,3
6,10
7,3
4,10
5,3
6,14
7,3
2,10
3,3
6,10
7,3
2,10
3,3
6,16
7,3
2,10
3,3
6,10
7,3
2,14
3,3
6,23
7,3
0,10
1,3
6,14
7,3
4,10
5,3
6,10
7,3
0,10
1,3
4,10
5,3
6,10
7,3
2,22
3,3
6,10
7,3
2,11
3,3
6,10
7,3
4,10
5,3
6,12
7,3
2,10
3,3
6,40
7,3
0,10
1,3
4,10
5,3
0,14
1,3
2,21
3,3
0,10
1,3
6,10
7,3
0,13
1,3
6,40
7,3
0,10
1,3
6,32
7,3
2,10
3,3
6,20
7,3
4,10
5,3
6,10
7,3
4,10
5,3
6,10
7,3
4,10
5,3
6,21
7,3
0,10
1,3
4,10
5,3
6,20
7,3
4,10
5,3
6,15
7,3
4,11
5,3
6,40
7,3
0,10
1,3
