phase,duration
0,11
1,3
6,40
7,3
0,10
1,3
6,22
7,3
2,35
3,3
6,40
7,3
0,10
1,3
6,40
7,3
0,10
1,3
6,15
7,3
2,30
3,3
4,10
5,3
2,11
3,3
0,10
1,3
2,10
3,3
0,10
1,3
6,10
7,3
2,10
3,3
6,24
7,3
4,10
5,3
2,10
3,3
4,10
5,3
0,10
1,3
2,20
3,3
4,10
5,3
6,10
7,3
0,10
1,3
6,10
7,3
2,11
3,3
4,10
5,3
2,11
3,3
6,10
7,3
0,12
1,3
2,10
3,3
0,10
1,3
2,10
3,3
6,20
7,3
2,15
3,3
6,29
7,3
4,13
5,3
0,10
1,3
2,10
3,3
6,10
7,3
2,25
3,3
6,22
7,3
2,12
3,3
6,15
7,3
2,10
3,3
6,10
7,3
4,12
5,3
0,10
1,3
2,24
3,3
6,10
7,3
4,10
5,3
2,11
3,3
0,10
1,3
6,10
7,3
0,10
1,3
2,10
3,3
0,26
1,3
6,17
7,3
2,10
3,3
6,10
7,3
4,10
5,3
6,10
7,3
2,10
3,3
6,12
7,3
4,10
5,3
2,10
3,3
4,10
5,3
2,10
3,3
6,16
7,3
4,11
5,3
2,19
3,3
6,10
7,3
2,10
3,3
0,10
1,3
2,12
3,3
0,10
1,3
4,15
5,3
6,10
7,3
4,10
5,3
0,10
1,3
2,12
3,3
0,10
1,3
2,10
3,3
6,10
7,3
2,10
3,3
6,15
7,3
2,14
3,3
6,10
7,3
2,10
3,3
6,12
7,3
4,27
5,3
2,11
3,3
6,11
7,3
4,10
5,3
6,10
7,3
0,10
1,3
2,10
3,3
4,10
5,3
2,10
3,3
4,10
5,3
6,16
7,3
0,10
1,3
6,22
7,3
4,10
5,3
6,10
7,3
4,10
