phase,duration
0,11
1,3
2,40
3,3
4,40
5,3
6,11
7,3
0,12
1,3
2,23
3,3
6,40
7,3
0,10
1,3
6,10
7,3
2,10
3,3
6,10
7,3
4,10
5,3
6,31
7,3
0,10
1,3
2,10
3,3
6,10
7,3
4,10
5,3
6,12
7,3
4,10
5,3
6,10
7,3
2,16
3,3
6,10
7,3
4,10
5,3
2,13
3,3
0,10
1,3
2,13
3,3
6,17
7,3
2,40
3,3
0,10
1,3
4,10
5,3
6,22
7,3
2,17
3,3
6,10
7,3
2,10
3,3
4,10
5,3
6,10
7,3
0,10
1,3
4,14
5,3
6,10
7,3
4,10
5,3
0,10
1,3
2,10
3,3
4,10
5,3
6,16
7,3
2,13
3,3
6,10
7,3
4,10
5,3
6,10
7,3
0,10
1,3
6,16
7,3
2,20
3,3
6,10
7,3
4,10
5,3
2,10
3,3
6,10
7,3
2,10
3,3
6,10
7,3
4,10
5,3
6,19
7,3
2,10
3,3
6,10
7,3
0,10
1,3
4,10
5,3
2,11
3,3
4,10
5,3
2,11
3,3
6,10
7,3
2,21
3,3
4,10
5,3
2,25
3,3
6,10
7,3
2,10
3,3
6,10
7,3
2,10
3,3
4,10
5,3
6,10
7,3
2,10
3,3
0,10
1,3
4,10
5,3
6,18
7,3
0,10
1,3
2,16
3,3
0,14
1,3
6,21
7,3
4,10
5,3
2,14
3,3
0,10
1,3
2,12
3,3
0,10
1,3
2,13
3,3
6,23
7,3
4,10
5,3
2,19
3,3
0,10
1,3
2,10
3,3
4,23
5,3
6,13
7,3
0,12
1,3
2,10
3,3
0,10
1,3
6,39
7,3
4,26
5,3
6,10
7,3
2,10
3,3
6,10
7,3
2,11
3,3
4,10
5,3
