phase,duration
0,11
1,3
6,40
7,3
0,10
1,3
6,40
7,3
0,10
1,3
6,10
7,3
2,13
3,3
6,10
7,3
2,40
3,3
4,10
5,3
0,10
1,3
6,10
7,3
0,10
1,3
6,10
7,3
2,13
3,3
4,10
5,3
6,10
7,3
2,10
3,3
6,10
7,3
2,18
3,3
4,10
5,3
0,10
1,3
2,10
3,3
0,10
1,3
2,10
3,3
0,10
1,3
4,10
5,3
0,10
1,3
4,10
5,3
6,10
7,3
0,10
1,3
2,10
3,3
6,10
7,3
0,10
1,3
6,10
7,3
2,10
3,3
0,10
1,3
6,38
7,3
2,12
3,3
6,10
7,3
0,10
1,3
4,10
5,3
0,14
1,3
6,10
7,3
0,11
1,3
6,10
7,3
4,10
5,3
2,10
3,3
4,10
5,3
2,10
3,3
6,10
7,3
2,10
3,3
0,10
1,3
2,16
3,3
4,10
5,3
6,10
7,3
2,35
3,3
0,22
1,3
2,28
3,3
6,10
7,3
2,11
3,3
0,11
1,3
2,10
3,3
0,10
1,3
6,14
7,3
4,10
5,3
2,12
3,3
6,10
7,3
0,16
1,3
2,10
3,3
4,10
5,3
0,11
1,3
2,26
3,3
6,26
7,3
0,10
1,3
4,10
5,3
6,10
7,3
2,10
3,3
0,10
1,3
4,10
5,3
0,10
1,3
6,12
7,3
0,10
1,3
4,11
5,3
2,14
3,3
0,10
1,3
2,10
3,3
6,10
7,3
0,10
1,3
6,14
7,3
2,10
3,3
6,10
7,3
0,10
1,3
6,10
7,3
2,10
3,3
6,10
7,3
4,10
5,3
2,14
3,3
6,10
7,3
4,10
5,3
2,16
3,3
0,10
1,3
2,14
3,3
6,18
7,3
0,10
1,3
2,12
3,3
0,10
1,3
4,10
5,3
0,10
1,3
2,30
3,3
0,34
1,3
